Time(ms),TPS,AFR
77500,1006,894
77550,1006,889
77600,1006,892
77650,1006,895
77700,1006,897
77750,1006,900
77800,1006,903
77850,1006,906
77900,1006,903
77950,1006,902
78000,1006,870
78050,1006,855
78100,1006,899
78150,1006,895
78200,1006,900
78251,1006,906
78301,1006,912
78351,1006,909
78401,1006,910
78451,1006,911
78501,1005,911
78551,1006,911
78601,1005,913
78651,1006,909
78701,1006,908
78751,1006,906
78801,1006,899
78851,1006,855
78901,1006,859
78951,1006,859
79001,1006,857
79051,1006,875
79101,1006,881
79151,1006,882
79201,1006,896
79251,1006,906
79301,1006,901
79351,1006,910
79401,1006,907
79451,1006,899
79501,1006,913
79551,1006,915
79601,1006,918
79651,1006,919
79702,1006,919
79752,1006,919
79802,1005,919
79852,1005,917
79902,1006,918
79952,1006,915
80002,1006,912
80052,1006,911
80102,1006,908
80152,1006,911
80202,1006,916
80252,1006,917
80302,1006,916
80352,1006,914
80402,1006,914
80452,1006,913
80502,1006,913
80552,1006,912
80602,1006,914
80652,1006,911
80702,1006,911
80752,1006,913
80802,1006,911
80852,1005,912
80902,1006,910
80952,1006,909
81002,1005,910
81052,1006,908
81102,1006,915
81152,1005,916
81202,1006,914
81252,1005,911
81302,1006,912
81352,1006,916
81402,1006,916
81452,1005,915
81502,1005,913
81552,1005,915
81602,1005,912
81652,1006,916
81702,1005,916
81752,1006,916
81802,1006,912
81852,1005,911
81902,1006,909
81952,1006,916
82002,1006,914
82052,1006,916
82102,1006,917
82152,1006,916
82202,1006,918
82252,1006,918
82302,1006,917
82352,1006,916
82402,1006,916
82452,1006,915
82502,1005,917
82552,1006,916
82603,1006,915
82653,1006,919
82703,1005,924
82753,1006,923
82803,1006,922
82853,1006,923
82903,1005,923
82953,1006,922
83003,1005,922
83053,1005,921
83103,1005,919
83153,1006,918
83203,1006,918
83253,1005,916
83303,1006,916
83353,1006,915
83403,1006,915
83453,1006,915
83503,1006,915
83553,1006,914
83603,1006,917
83653,1006,917
83703,1005,917
83753,1006,915
83803,1006,913
83853,1006,914
83903,1006,912
83953,1006,910
84003,1006,912
84054,1006,913
84104,1006,912
84154,1006,914
84204,1006,916
84254,1006,911
84304,1006,911
84354,1006,910
84404,1006,911
84454,1006,912
84504,1006,910
84554,1006,908
84604,1006,908
84654,1006,909
84704,1006,908
84754,1006,907
84804,1006,905
84854,1006,916
84904,1006,911
84954,1006,913
85004,1006,911
85054,1006,914
85104,1006,916
85154,1006,914
85204,1006,913
85254,1006,913
85304,1006,911
85354,1006,911
85404,1006,910
85454,1006,908
85504,1006,910
85554,1006,910
85604,1006,913
85654,1006,911
85704,1006,910
85754,1006,911
85804,1006,913
85854,1006,922
85904,1006,921
85954,1006,921
86004,1006,922
86054,1006,922
86104,1006,923
86154,1006,923
86204,1006,924
86254,1006,924
86304,1006,924
86354,1006,924
86404,1006,923
86454,1006,923
86504,1006,922
86554,1006,921
86604,1006,919
86654,1006,917
86704,1006,911
86754,1006,915
86804,1006,914
86854,1006,913
86904,1006,914
86955,1006,912
87005,1006,910
87055,1006,910
87105,1006,907
87155,1006,903
87205,1006,908
87255,1006,911
87305,1006,910
87355,1006,913
87405,1006,914
87455,1006,913
87505,1006,915
87555,1006,913
87605,1006,915
87655,1006,914
87705,1006,914
87755,1006,921
87805,1006,920
87855,1006,917
87905,1006,916
87955,1006,918
88005,1006,917
88055,1006,909
88105,1006,906
88155,1006,911
88205,1006,908
88255,1006,907
88305,1006,904
88355,1006,917
88406,1006,915
88456,1006,918
88506,1006,921
88556,1006,922
88606,1006,920
88656,1006,915
88706,1006,918
88756,1006,915
88806,1006,908
88856,1006,912
88906,1006,913
88956,1006,914
89006,1006,919
89056,1006,920
89106,1006,921
89156,1006,923
89206,1006,923
89256,1006,924
89306,1006,926
89356,1006,926
89406,1006,927
89456,1006,929
89506,1006,930
89556,1006,931
89606,1006,931
89656,1006,931
89706,1006,931
89756,1006,931
89806,1006,931
89856,1006,931
89906,1006,931
89956,1006,931
90006,1006,931
90056,1006,931
90106,1006,931
90156,1006,931
90206,1006,931
90256,1006,931
90306,1006,931
90356,1006,931
90406,1006,931
90456,1006,931
90506,1006,931
90556,1006,931
90606,1006,931
90656,1006,931
90706,1006,931
90756,1006,931
90806,1006,931
90856,1006,931
90906,1006,931
90956,1006,931
91006,1006,931
