Time(ms),TPS,AFR,TMP,VEL
167950,17,2,147,12
168000,18,3,146,12
168050,17,3,146,12
168100,17,4,147,12
168150,18,3,146,12
168200,18,4,147,12
168250,17,3,147,12
168300,17,3,146,10
168350,17,3,146,10
168400,17,5,147,10
168450,18,3,146,10
168500,17,3,146,10
168550,18,2,147,10
168600,18,3,146,10
168650,18,3,146,10
168700,17,4,147,10
168750,18,3,146,10
168800,18,3,146,10
168850,17,3,147,10
168900,17,3,146,10
168950,17,3,146,10
169000,17,4,147,10
169050,18,3,146,10
169100,18,2,146,10
169150,18,2,147,10
169200,17,3,146,10
169250,17,3,146,10
169300,18,3,147,10
169350,17,2,146,10
169400,18,3,146,12
169450,17,2,146,12
169500,18,3,146,12
169550,18,3,147,12
169600,17,3,146,12
169650,17,3,146,12
169700,17,4,146,12
169750,18,3,146,12
169800,18,2,146,12
169850,18,3,146,12
169900,18,3,146,12
169950,18,3,147,12
170000,18,3,146,12
170050,17,2,146,12
170100,17,3,146,12
170150,17,3,146,12
170200,18,3,145,12
170250,17,3,146,12
170300,18,4,147,12
170350,17,2,146,12
170400,17,3,146,12
170450,18,3,147,12
170500,18,3,146,12
170550,18,3,146,12
170600,17,4,147,12
170650,18,3,146,12
170700,18,3,146,12
170750,17,3,146,12
170800,18,3,146,12
170850,18,3,146,12
170900,17,4,147,12
170950,18,3,146,12
171000,18,3,146,12
171050,17,3,146,12
171100,18,3,146,12
171150,17,3,146,12
171200,17,5,147,12
171250,18,2,146,12
171300,17,3,146,12
171350,17,5,147,12
171400,18,4,146,12
171450,18,3,146,12
171500,17,4,146,12
171550,18,3,146,12
171600,17,2,146,12
171650,17,5,147,12
171700,17,3,146,12
171750,18,4,147,12
171800,17,4,147,12
171850,18,3,146,12
171900,17,3,146,12
171950,17,5,147,12
172000,18,3,146,12
172050,17,3,147,12
172100,17,5,147,12
172150,17,3,146,12
172200,17,3,146,12
172250,17,4,147,12
172300,17,3,146,12
172350,18,3,146,12
172400,17,5,147,12
172450,18,3,146,12
172500,17,3,146,12
172550,17,4,147,12
172600,18,3,146,12
172650,18,3,146,12
172700,17,5,147,12
172750,18,3,146,12
172800,28,4,147,12
172850,22,4,147,12
172900,21,3,146,12
172950,21,3,146,12
173000,20,4,147,12
173050,21,3,146,12
173100,20,3,146,12
173150,20,3,147,12
173200,20,3,146,12
173250,21,3,147,12
173300,22,4,147,12
173350,21,3,146,12
173400,21,3,146,12
173450,21,3,146,12
173500,20,3,146,12
173550,21,3,146,12
173600,21,2,146,12
173650,21,4,147,12
173700,20,3,146,12
173750,20,3,146,12
173800,20,3,146,12
173850,20,3,146,12
173900,20,3,146,12
173950,20,3,146,12
174000,20,4,147,12
174050,20,3,145,12
174100,20,3,146,12
174150,20,5,147,12
174200,21,3,146,12
174250,20,3,146,12
174300,20,4,147,12
174350,21,3,146,12
174400,20,3,146,12
174450,20,4,147,12
174500,21,3,146,12
174550,21,3,146,12
174600,20,3,147,12
174650,20,3,146,12
174700,20,2,146,12
174750,20,4,147,12
174800,20,2,146,12
174850,20,3,146,12
174900,20,4,147,14
174950,20,3,146,14
175000,20,3,147,14
175050,19,4,147,14
175100,21,3,146,14
175150,21,3,146,14
175200,20,4,147,14
175250,20,3,146,14
175300,21,4,146,14
175350,20,4,147,14
175400,20,3,147,14
175450,20,3,146,14
175500,20,4,147,14
175550,20,3,146,14
175600,21,3,146,14
175650,20,5,147,14
175700,20,3,146,14
175750,21,3,146,14
175800,20,4,147,14
175850,20,3,146,14
175900,20,3,146,14
175950,20,6,147,14
176000,20,3,147,14
176050,20,3,146,14
176100,21,4,147,14
176150,20,3,146,14
176200,20,3,146,14
176250,20,5,147,14
176300,20,3,146,14
176350,20,3,146,14
176400,20,4,147,14
176450,20,3,146,14
176500,20,3,146,14
176550,20,4,147,14
176600,20,3,146,14
176650,20,3,147,14
176700,20,3,147,14
176750,20,2,146,14
176800,20,3,146,14
176850,20,4,147,14
176900,20,3,146,14
176950,20,3,146,14
177000,20,3,147,14
177050,20,3,147,14
177100,20,3,146,14
177150,20,4,147,14
177200,20,3,146,14
177250,20,3,146,14
177300,20,2,146,14
177350,20,3,146,14
177400,20,3,146,14
177450,20,4,147,14
177500,20,3,146,14
177550,20,3,146,14
177600,20,3,147,14
177650,20,3,146,14
177700,20,3,146,14
177750,20,2,146,14
177800,20,3,146,14
177850,20,3,146,14
177900,20,3,147,14
177950,20,3,146,14
178000,20,3,146,14
178050,20,3,146,14
178100,20,3,146,14
178150,20,3,146,14
178200,20,2,146,14
178250,20,3,146,14
178300,20,3,146,14
178350,20,3,146,14
178400,20,3,146,14
178450,20,3,146,14
178500,20,2,146,14
178550,20,3,146,14
178600,20,3,146,14
178650,20,3,146,14
178700,20,3,147,14
178750,20,3,146,14
178800,20,2,146,14
178850,20,2,146,14
178900,20,3,146,14
178950,20,3,146,14
179000,20,3,146,14
179050,20,3,146,14
179100,20,3,146,14
179150,20,3,146,14
179200,20,5,146,14
179250,20,3,146,14
179300,20,3,146,16
179350,20,4,146,16
179400,21,3,146,16
179450,20,3,146,16
179500,20,5,147,16
179550,21,4,146,16
179600,20,3,147,16
179650,20,4,146,16
179700,21,4,146,16
179750,20,3,146,16
179800,19,5,147,16
179850,20,3,146,16
179900,20,3,146,16
179950,20,4,146,16
180000,20,3,146,16
180050,20,3,146,16
180100,20,5,147,16
180150,20,3,145,16
180200,20,3,146,16
180250,20,4,146,16
180300,20,2,146,16
180350,20,2,146,16
180400,20,5,147,15
180450,20,3,146,15
180500,20,3,146,15
180550,20,4,147,15
180600,20,2,146,15
180650,20,2,146,15
180700,19,4,147,15
180750,20,3,146,15
180800,20,3,146,15
180850,20,3,147,15
180900,20,2,146,15
180950,20,3,146,15
181000,20,4,147,15
181050,20,3,145,15
181100,20,3,146,15
181150,20,3,146,15
181200,20,3,146,15
181250,21,3,146,15
181300,20,4,146,15
181350,20,3,146,15
181400,20,3,146,15
181450,20,3,146,15
181500,20,2,146,15
181550,20,3,146,15
181600,20,3,146,15
181650,20,3,146,15
181700,20,3,146,15
181750,20,3,146,15
181800,21,3,147,15
181850,20,3,146,15
181900,19,4,146,15
181950,21,3,147,15
182000,20,3,146,15
182050,20,3,146,15
182100,20,2,147,15
182150,20,3,146,15
182200,19,5,147,15
182250,20,2,146,15
182300,20,3,146,15
182350,21,4,147,15
182400,20,3,146,15
182450,20,3,146,15
182500,20,3,146,15
182550,20,3,146,15
182600,20,3,146,16
182650,20,3,146,16
182700,20,3,146,16
182750,20,3,146,16
182800,20,3,146,16
182850,20,2,146,16
182900,21,3,146,16
182950,20,3,146,16
183000,20,3,146,16
183050,20,3,146,16
183100,19,4,146,16
183150,20,3,145,16
183200,20,3,146,16
183250,20,3,146,16
183300,21,4,146,16
183350,20,3,146,16
183400,20,5,147,16
183450,20,3,146,16
183500,20,3,146,16
183550,20,5,147,16
183600,20,3,146,16
183650,20,3,146,16
183700,20,4,147,18
183750,20,3,146,18
183800,20,3,146,18
183850,20,4,146,18
183900,20,3,146,18
183950,21,3,146,18
184000,20,5,147,18
184050,20,3,146,18
184100,20,3,146,18
184150,20,4,147,18
184200,20,3,146,18
184250,20,3,146,18
184300,20,4,147,18
184350,21,4,146,18
184400,20,2,146,18
184450,20,4,147,18
184500,20,3,146,18
184550,20,3,146,18
184600,20,4,147,18
184650,20,3,146,18
184700,20,3,146,18
184750,20,4,147,18
184800,20,3,146,16
184850,20,3,147,16
184900,19,4,147,16
184950,20,3,146,16
185000,21,4,146,16
185050,20,2,147,16
185100,20,3,146,16
185150,20,3,146,16
185200,20,4,147,16
185250,21,3,147,16
185300,20,3,146,16
185350,20,2,146,16
185400,20,3,146,16
185450,20,3,146,16
185500,21,4,147,16
185550,20,3,146,16
185600,20,3,146,16
185650,20,2,146,16
185700,20,3,146,16
185750,20,3,146,16
185800,20,3,147,16
185850,20,3,146,16
185900,20,3,146,18
185950,20,2,146,18
186000,20,3,146,18
186050,20,3,146,18
186100,20,2,146,18
186150,20,3,146,18
186200,20,3,146,18
186250,20,3,146,18
186300,20,3,146,18
186350,20,3,146,18
186400,20,3,147,18
186450,20,3,146,18
186500,19,3,146,18
186550,20,2,146,18
186600,20,3,146,18
186650,20,3,146,18
186700,20,3,147,18
186750,20,3,146,18
186800,20,3,146,18
186850,20,2,146,18
186900,20,3,146,18
186950,20,3,147,18
187000,20,2,146,16
187050,20,2,147,16
187100,20,3,146,16
187150,20,2,146,16
187200,20,3,146,16
187250,20,3,147,16
187300,20,2,147,16
187350,20,3,146,16
187400,20,3,146,16
187450,20,2,146,16
187500,20,3,146,16
187550,20,3,146,16
187600,20,2,146,16
