Time(ms),TPS,AFR
30170,995,807
30220,990,802
30270,998,810
30320,1013,807
30370,1010,782
30420,1009,780
30470,1010,802
30520,1010,794
30570,998,808
30620,1007,797
30670,1008,778
30720,1008,782
30770,1000,791
30820,964,789
30870,948,782
30920,910,781
30970,866,788
31020,819,784
31070,764,794
31120,733,776
31170,668,757
31220,583,731
31270,500,692
31320,445,750
31370,413,791
31420,387,785
31470,343,776
31520,306,791
31570,282,791
31620,288,794
31670,284,790
31720,279,793
31770,307,792
31820,279,779
31870,276,799
31920,274,792
31970,280,798
32020,279,804
32070,279,813
32120,279,764
32171,279,783
32221,275,789
32271,274,782
32321,275,781
32371,275,785
32421,273,807
32471,273,804
32521,268,795
32571,257,794
32621,243,784
32671,222,760
32721,208,755
32771,193,757
32821,168,754
32871,134,757
32921,90,750
32971,40,730
33021,2,720
33071,2,707
33121,2,688
33171,1,679
33221,2,675
33271,1,663
33321,1,652
33371,0,645
33421,1,642
33471,1,635
33521,1,623
33571,1,599
33622,0,590
33672,0,576
33722,0,568
33772,0,559
33822,1,565
33872,0,563
33922,0,556
33972,0,557
34022,0,556
34072,0,549
34122,0,536
34172,1,536
34222,0,536
34272,1,536
34322,1,531
34372,1,529
34422,0,528
34472,1,522
34522,1,514
34572,1,514
34622,0,511
34672,0,508
34722,1,499
34772,1,503
34822,0,503
34872,0,502
34922,0,500
34972,0,499
35022,0,497
35072,1,495
35122,0,493
35172,1,494
35222,1,490
35272,0,475
35322,0,485
35372,2,482
35422,0,489
35472,1,494
35522,1,493
35572,0,494
35622,0,494
35672,0,487
35722,0,487
35772,0,492
35822,0,488
35872,1,492
35922,1,490
35972,0,490
36022,0,490
36072,0,493
36122,0,497
36172,1,496
36222,0,496
36272,0,497
36322,0,491
36372,0,495
36422,0,492
36472,0,495
36523,1,500
36573,1,503
36623,1,483
36673,0,486
36723,2,482
36773,0,481
36823,1,477
36873,0,484
36923,1,478
36973,0,485
37023,1,491
37073,25,496
37123,68,486
37173,113,481
37223,174,492
37273,317,502
37323,434,495
37373,455,524
37423,475,531
37473,505,543
37523,558,554
37573,597,586
37623,620,586
37673,643,622
37723,663,660
37773,699,728
37823,742,759
37873,787,776
37923,836,781
37974,892,779
38024,909,782
38074,907,779
38124,907,780
38174,908,783
38224,907,784
38274,894,785
38324,828,784
38374,908,785
38424,908,742
38474,907,773
38524,931,767
38574,984,790
38624,1007,789
38674,1009,785
38724,1007,785
38774,1007,794
38824,1009,794
38874,1008,799
38924,1007,804
38974,1007,809
39024,1009,812
39074,1010,812
39124,1008,822
39174,1008,825
39224,1009,831
39274,1010,835
39324,1008,843
39374,1008,849
39424,1010,850
39474,1009,855
39524,1011,864
39574,1009,865
39624,1009,873
39674,1009,879
39724,1008,881
39774,1008,888
39824,1009,888
39874,1010,893
39924,1008,888
39974,1008,885
40024,1010,893
40074,1008,894
40124,1009,902
40174,1011,909
40224,1008,913
40274,1010,919
40324,1009,925
40374,1009,927
40424,1009,934
40474,1011,931
40524,1011,931
40574,1008,933
40624,1009,931
40674,1009,932
40724,1009,932
40774,1009,932
40824,1009,930
40875,1009,928
40925,1009,927
40975,1010,930
41025,1009,930
41075,1009,931
41125,1009,930
41175,1011,945
41225,1009,939
41275,1009,928
41325,1010,932
41375,1009,927
41425,1008,928
41475,1009,928
41525,1008,927
41575,1009,928
41625,1009,926
41675,1011,924
41725,1010,916
41775,1009,926
41825,1011,922
41875,1009,926
41925,1009,926
41975,1008,925
42025,1009,930
42075,1009,932
42125,1009,944
42175,1008,950
42225,1008,933
42275,1008,949
42326,1007,950
42376,1007,952
42426,1007,933
42476,1006,947
42526,1007,933
42576,1005,932
42626,1006,932
42676,1005,933
42726,1004,934
42776,1006,933
42826,1005,932
42876,1005,931
42926,1004,932
42976,1006,930
43026,1005,929
43076,1005,927
43126,1006,926
43176,1008,925
43226,1006,925
43276,987,922
43326,929,919
43376,883,927
43426,840,927
43476,810,927
43526,762,928
43576,690,929
43626,579,934
43676,466,935
43726,417,937
43776,369,937
43826,313,936
43876,262,935
43926,189,938
43976,139,937
44026,66,938
44076,4,938
44126,1,938
44176,1,938
44226,1,938
44276,2,939
44326,2,938
44376,1,935
44426,2,928
44476,3,920
44526,3,916
44576,2,906
44626,3,896
44676,2,892
44726,4,891
44776,6,882
44826,9,878
44876,16,875
44926,5,874
44976,7,866
45026,6,863
45076,6,855
45126,5,851
45176,5,843
45227,5,838
45277,5,839
45327,4,827
45377,5,827
45427,5,828
45477,5,781
45527,5,806
45577,5,821
45627,5,822
45677,4,817
45727,4,808
45777,4,811
45827,4,800
45877,4,796
45927,3,789
45977,3,784
46027,4,775
46077,4,778
46127,3,778
46177,4,773
46227,4,767
46277,3,759
46327,4,755
46377,4,750
46427,3,712
46477,3,699
46527,4,716
46577,3,708
46627,4,708
46678,4,704
46728,3,700
46778,4,697
46828,3,694
46878,4,666
46928,5,699
46978,4,698
47028,3,706
47078,4,701
47128,4,652
47178,4,639
47228,4,628
47278,4,628
47328,3,613
47378,5,580
47428,4,541
47478,4,544
47528,4,514
47578,4,487
47628,4,526
47678,4,486
47728,4,478
47778,4,490
47828,4,469
47878,4,404
47928,4,479
47978,3,480
48028,4,484
48078,5,503
48128,5,513
48178,4,512
48228,4,513
48278,5,508
48328,5,511
48378,4,513
48428,4,516
48478,3,499
48528,3,493
48578,3,494
48628,3,495
48678,5,475
48728,4,449
48778,4,435
48828,4,422
48878,4,420
48928,6,413
48978,5,393
49028,5,377
49078,6,346
49128,6,320
49178,5,299
49228,5,283
49278,4,270
49328,5,262
49378,5,254
49428,6,244
49478,7,228
49528,6,209
49579,7,199
49629,7,195
49679,7,195
49729,7,187
49779,7,176
49829,6,166
49879,6,145
49929,7,137
49979,7,125
50029,7,128
50079,6,117
50129,7,117
50179,6,121
50229,7,126
50279,7,119
50329,7,119
50379,7,105
50429,6,105
50479,8,122
50529,7,124
50579,8,123
50629,35,125
50679,15,118
50729,47,111
50779,87,122
50829,9,89
50879,3,70
50929,8,86
50979,2,34
51030,3,39
51080,2,42
51130,2,40
51180,1,35
51230,2,69
51280,1,53
51330,1,8
51380,1,6
51430,2,6
51480,3,5
51530,2,6
51580,3,4
51630,3,5
51680,3,4
51730,2,4
